domain|Subject Alternative Name|Certificate SerialNumber
"*.scottoleiloes.com.br"|""|""
"*.seguridad-santander-movil.com"|""|""
"*.sergiorepresasleiloes.com.br"|""|""
"*.sicoob-coop.ga"|""|""
"*.sicoob-coop.ml"|""|""
"*.sicoob-coop.tk"|""|""
"*.sicredicampeoes.com.br"|""|""
"*.summer-lake-6941.thedigitalpanda.workers.dev"|""|""
"*.thakurpancard.in"|""|""
"*.to-better-smiles-sure.live"|""|""
"*.to-better-smiles-talk.live"|""|""
"*.to-smiles-rich.live"|""|""
"*.totalleilao.com.br"|""|""
"*.ultraleiloes.com.br"|""|""
"*.usmanipancard.com"|""|""
"*.virus-killing.ga"|""|""
"*.vivo-slot.co.com"|""|""
