domain|Subject Alternative Name|Certificate SerialNumber
"balcao.atendimento.demo.w4msolutions.com"|"DNS:0018.atendimento.bpi.w4msolutions.com, DNS:0030.atendimento.bpi.w4msolutions.com, DNS:01.safeticket.w4msolutions.com, DNS:0152.atendimento.bpi.w4msolutions.com, DNS:0174.atendimento.bpi.w4msolutions.com, DNS:02.safeticket.w4msolutions.com, DNS:03.safeticket.w4msolutions.com, DNS:0311.atendimento.bpi.w4msolutions.com, DNS:04.safeticket.w4msolutions.com, DNS:0412.atendimento.bpi.w4msolutions.com, DNS:0427.atendimento.bpi.w4msolutions.com, DNS:0429.atendimento.bpi.w4msolutions.com, DNS:0441.atendimento.bpi.w4msolutions.com, DNS:05.safeticket.w4msolutions.com, DNS:0584.atendimento.bpi.w4msolutions.com, DNS:api.atendimento.aqualab.w4msolutions.com, DNS:api.atendimento.bpi.w4msolutions.com, DNS:api.atendimento.demo.w4msolutions.com, DNS:api.atendimento.gomed.w4msolutions.com, DNS:api.atendimento.mareginter.w4msolutions.com, DNS:api.atendimento.santander.w4msolutions.com, DNS:api.dashboard.queuemanager.w4msolutions.com, DNS:api.graphdata.queuemanager.w4msolutions.com, DNS:api.queuemanager.w4msolutions.com, DNS:apt-docker.w4msolutions.com, DNS:apt.w4msolutions.com, DNS:atendimento.bpi.w4msolutions.com, DNS:backoffice.baa.w4msolutions.com, DNS:backoffice.bacfalgarve.pt, DNS:balancer-eu-3.w4msolutions.com, DNS:balcao.atendimento.aqualab.w4msolutions.com, DNS:balcao.atendimento.bpi.w4msolutions.com, DNS:balcao.atendimento.demo.w4msolutions.com, DNS:balcao.atendimento.gomed.w4msolutions.com, DNS:balcao.atendimento.mareginter.w4msolutions.com, DNS:balcao.atendimento.santander.w4msolutions.com, DNS:ce-manager.w4msolutions.com, DNS:cetelem-colombo.atendimento.w4msolutions.com, DNS:cetelem-matosinhos.atendimento.w4msolutions.com, DNS:crc.api.booking.w2q.w4msolutions.com, DNS:crc.booking.w2q.w4msolutions.com, DNS:dashboard.queuemanager.w4msolutions.com, DNS:demo.atendimento.bpi.w4msolutions.com, DNS:integration.atendimento.santander.w4msolutions.com, DNS:kiosk.atendimento.aqualab.w4msolutions.com, DNS:kiosk.atendimento.bpi.w4msolutions.com, DNS:kiosk.atendimento.demo.w4msolutions.com, DNS:kiosk.atendimento.gomed.w4msolutions.com, DNS:kiosk.atendimento.mareginter.w4msolutions.com, DNS:kiosk.atendimento.santander.w4msolutions.com, DNS:public.api.queuemanager.w4msolutions.com, DNS:registo.baa.w4msolutions.com, DNS:registo.bacfalgarve.pt, DNS:sacavem.atendimento.stellantis.w4msolutions.com, DNS:safeticket.w4msolutions.com, DNS:senhasegura.w4msolutions.com, DNS:sms-gateway.w4msolutions.com, DNS:st.w4m.solutions, DNS:tools.w4msolutions.com, DNS:tv.atendimento.aqualab.w4msolutions.com, DNS:tv.atendimento.bpi.w4msolutions.com, DNS:tv.atendimento.demo.w4msolutions.com, DNS:tv.atendimento.gomed.w4msolutions.com, DNS:tv.atendimento.mareginter.w4msolutions.com, DNS:tv.atendimento.santander.w4msolutions.com"|"03:0e:7f:18:9c:dd:3b:71:02:93:87:47:e8:c7:3e:6e:7a:9b"
"balcao.atendimento.gomed.w4msolutions.com"|"DNS:0018.atendimento.bpi.w4msolutions.com, DNS:0030.atendimento.bpi.w4msolutions.com, DNS:01.safeticket.w4msolutions.com, DNS:0152.atendimento.bpi.w4msolutions.com, DNS:0174.atendimento.bpi.w4msolutions.com, DNS:02.safeticket.w4msolutions.com, DNS:03.safeticket.w4msolutions.com, DNS:0311.atendimento.bpi.w4msolutions.com, DNS:04.safeticket.w4msolutions.com, DNS:0412.atendimento.bpi.w4msolutions.com, DNS:0427.atendimento.bpi.w4msolutions.com, DNS:0429.atendimento.bpi.w4msolutions.com, DNS:0441.atendimento.bpi.w4msolutions.com, DNS:05.safeticket.w4msolutions.com, DNS:0584.atendimento.bpi.w4msolutions.com, DNS:api.atendimento.aqualab.w4msolutions.com, DNS:api.atendimento.bpi.w4msolutions.com, DNS:api.atendimento.demo.w4msolutions.com, DNS:api.atendimento.gomed.w4msolutions.com, DNS:api.atendimento.mareginter.w4msolutions.com, DNS:api.atendimento.santander.w4msolutions.com, DNS:api.dashboard.queuemanager.w4msolutions.com, DNS:api.graphdata.queuemanager.w4msolutions.com, DNS:api.queuemanager.w4msolutions.com, DNS:apt-docker.w4msolutions.com, DNS:apt.w4msolutions.com, DNS:atendimento.bpi.w4msolutions.com, DNS:backoffice.baa.w4msolutions.com, DNS:backoffice.bacfalgarve.pt, DNS:balancer-eu-3.w4msolutions.com, DNS:balcao.atendimento.aqualab.w4msolutions.com, DNS:balcao.atendimento.bpi.w4msolutions.com, DNS:balcao.atendimento.demo.w4msolutions.com, DNS:balcao.atendimento.gomed.w4msolutions.com, DNS:balcao.atendimento.mareginter.w4msolutions.com, DNS:balcao.atendimento.santander.w4msolutions.com, DNS:ce-manager.w4msolutions.com, DNS:cetelem-colombo.atendimento.w4msolutions.com, DNS:cetelem-matosinhos.atendimento.w4msolutions.com, DNS:crc.api.booking.w2q.w4msolutions.com, DNS:crc.booking.w2q.w4msolutions.com, DNS:dashboard.queuemanager.w4msolutions.com, DNS:demo.atendimento.bpi.w4msolutions.com, DNS:integration.atendimento.santander.w4msolutions.com, DNS:kiosk.atendimento.aqualab.w4msolutions.com, DNS:kiosk.atendimento.bpi.w4msolutions.com, DNS:kiosk.atendimento.demo.w4msolutions.com, DNS:kiosk.atendimento.gomed.w4msolutions.com, DNS:kiosk.atendimento.mareginter.w4msolutions.com, DNS:kiosk.atendimento.santander.w4msolutions.com, DNS:public.api.queuemanager.w4msolutions.com, DNS:registo.baa.w4msolutions.com, DNS:registo.bacfalgarve.pt, DNS:sacavem.atendimento.stellantis.w4msolutions.com, DNS:safeticket.w4msolutions.com, DNS:senhasegura.w4msolutions.com, DNS:sms-gateway.w4msolutions.com, DNS:st.w4m.solutions, DNS:tools.w4msolutions.com, DNS:tv.atendimento.aqualab.w4msolutions.com, DNS:tv.atendimento.bpi.w4msolutions.com, DNS:tv.atendimento.demo.w4msolutions.com, DNS:tv.atendimento.gomed.w4msolutions.com, DNS:tv.atendimento.mareginter.w4msolutions.com, DNS:tv.atendimento.santander.w4msolutions.com"|"03:0e:7f:18:9c:dd:3b:71:02:93:87:47:e8:c7:3e:6e:7a:9b"
"balcao.atendimento.mareginter.w4msolutions.com"|"DNS:0018.atendimento.bpi.w4msolutions.com, DNS:0030.atendimento.bpi.w4msolutions.com, DNS:01.safeticket.w4msolutions.com, DNS:0152.atendimento.bpi.w4msolutions.com, DNS:0174.atendimento.bpi.w4msolutions.com, DNS:02.safeticket.w4msolutions.com, DNS:03.safeticket.w4msolutions.com, DNS:0311.atendimento.bpi.w4msolutions.com, DNS:04.safeticket.w4msolutions.com, DNS:0412.atendimento.bpi.w4msolutions.com, DNS:0427.atendimento.bpi.w4msolutions.com, DNS:0429.atendimento.bpi.w4msolutions.com, DNS:0441.atendimento.bpi.w4msolutions.com, DNS:05.safeticket.w4msolutions.com, DNS:0584.atendimento.bpi.w4msolutions.com, DNS:api.atendimento.aqualab.w4msolutions.com, DNS:api.atendimento.bpi.w4msolutions.com, DNS:api.atendimento.demo.w4msolutions.com, DNS:api.atendimento.gomed.w4msolutions.com, DNS:api.atendimento.mareginter.w4msolutions.com, DNS:api.atendimento.santander.w4msolutions.com, DNS:api.dashboard.queuemanager.w4msolutions.com, DNS:api.graphdata.queuemanager.w4msolutions.com, DNS:api.queuemanager.w4msolutions.com, DNS:apt-docker.w4msolutions.com, DNS:apt.w4msolutions.com, DNS:atendimento.bpi.w4msolutions.com, DNS:backoffice.baa.w4msolutions.com, DNS:backoffice.bacfalgarve.pt, DNS:balancer-eu-3.w4msolutions.com, DNS:balcao.atendimento.aqualab.w4msolutions.com, DNS:balcao.atendimento.bpi.w4msolutions.com, DNS:balcao.atendimento.demo.w4msolutions.com, DNS:balcao.atendimento.gomed.w4msolutions.com, DNS:balcao.atendimento.mareginter.w4msolutions.com, DNS:balcao.atendimento.santander.w4msolutions.com, DNS:ce-manager.w4msolutions.com, DNS:cetelem-colombo.atendimento.w4msolutions.com, DNS:cetelem-matosinhos.atendimento.w4msolutions.com, DNS:crc.api.booking.w2q.w4msolutions.com, DNS:crc.booking.w2q.w4msolutions.com, DNS:dashboard.queuemanager.w4msolutions.com, DNS:demo.atendimento.bpi.w4msolutions.com, DNS:integration.atendimento.santander.w4msolutions.com, DNS:kiosk.atendimento.aqualab.w4msolutions.com, DNS:kiosk.atendimento.bpi.w4msolutions.com, DNS:kiosk.atendimento.demo.w4msolutions.com, DNS:kiosk.atendimento.gomed.w4msolutions.com, DNS:kiosk.atendimento.mareginter.w4msolutions.com, DNS:kiosk.atendimento.santander.w4msolutions.com, DNS:public.api.queuemanager.w4msolutions.com, DNS:registo.baa.w4msolutions.com, DNS:registo.bacfalgarve.pt, DNS:sacavem.atendimento.stellantis.w4msolutions.com, DNS:safeticket.w4msolutions.com, DNS:senhasegura.w4msolutions.com, DNS:sms-gateway.w4msolutions.com, DNS:st.w4m.solutions, DNS:tools.w4msolutions.com, DNS:tv.atendimento.aqualab.w4msolutions.com, DNS:tv.atendimento.bpi.w4msolutions.com, DNS:tv.atendimento.demo.w4msolutions.com, DNS:tv.atendimento.gomed.w4msolutions.com, DNS:tv.atendimento.mareginter.w4msolutions.com, DNS:tv.atendimento.santander.w4msolutions.com"|"03:0e:7f:18:9c:dd:3b:71:02:93:87:47:e8:c7:3e:6e:7a:9b"
"balcao.atendimento.santander.w4msolutions.com"|"DNS:0018.atendimento.bpi.w4msolutions.com, DNS:0030.atendimento.bpi.w4msolutions.com, DNS:01.safeticket.w4msolutions.com, DNS:0152.atendimento.bpi.w4msolutions.com, DNS:0174.atendimento.bpi.w4msolutions.com, DNS:02.safeticket.w4msolutions.com, DNS:03.safeticket.w4msolutions.com, DNS:0311.atendimento.bpi.w4msolutions.com, DNS:04.safeticket.w4msolutions.com, DNS:0412.atendimento.bpi.w4msolutions.com, DNS:0427.atendimento.bpi.w4msolutions.com, DNS:0429.atendimento.bpi.w4msolutions.com, DNS:0441.atendimento.bpi.w4msolutions.com, DNS:05.safeticket.w4msolutions.com, DNS:0584.atendimento.bpi.w4msolutions.com, DNS:api.atendimento.aqualab.w4msolutions.com, DNS:api.atendimento.bpi.w4msolutions.com, DNS:api.atendimento.demo.w4msolutions.com, DNS:api.atendimento.gomed.w4msolutions.com, DNS:api.atendimento.mareginter.w4msolutions.com, DNS:api.atendimento.santander.w4msolutions.com, DNS:api.dashboard.queuemanager.w4msolutions.com, DNS:api.graphdata.queuemanager.w4msolutions.com, DNS:api.queuemanager.w4msolutions.com, DNS:apt-docker.w4msolutions.com, DNS:apt.w4msolutions.com, DNS:atendimento.bpi.w4msolutions.com, DNS:backoffice.baa.w4msolutions.com, DNS:backoffice.bacfalgarve.pt, DNS:balancer-eu-3.w4msolutions.com, DNS:balcao.atendimento.aqualab.w4msolutions.com, DNS:balcao.atendimento.bpi.w4msolutions.com, DNS:balcao.atendimento.demo.w4msolutions.com, DNS:balcao.atendimento.gomed.w4msolutions.com, DNS:balcao.atendimento.mareginter.w4msolutions.com, DNS:balcao.atendimento.santander.w4msolutions.com, DNS:ce-manager.w4msolutions.com, DNS:cetelem-colombo.atendimento.w4msolutions.com, DNS:cetelem-matosinhos.atendimento.w4msolutions.com, DNS:crc.api.booking.w2q.w4msolutions.com, DNS:crc.booking.w2q.w4msolutions.com, DNS:dashboard.queuemanager.w4msolutions.com, DNS:demo.atendimento.bpi.w4msolutions.com, DNS:integration.atendimento.santander.w4msolutions.com, DNS:kiosk.atendimento.aqualab.w4msolutions.com, DNS:kiosk.atendimento.bpi.w4msolutions.com, DNS:kiosk.atendimento.demo.w4msolutions.com, DNS:kiosk.atendimento.gomed.w4msolutions.com, DNS:kiosk.atendimento.mareginter.w4msolutions.com, DNS:kiosk.atendimento.santander.w4msolutions.com, DNS:public.api.queuemanager.w4msolutions.com, DNS:registo.baa.w4msolutions.com, DNS:registo.bacfalgarve.pt, DNS:sacavem.atendimento.stellantis.w4msolutions.com, DNS:safeticket.w4msolutions.com, DNS:senhasegura.w4msolutions.com, DNS:sms-gateway.w4msolutions.com, DNS:st.w4m.solutions, DNS:tools.w4msolutions.com, DNS:tv.atendimento.aqualab.w4msolutions.com, DNS:tv.atendimento.bpi.w4msolutions.com, DNS:tv.atendimento.demo.w4msolutions.com, DNS:tv.atendimento.gomed.w4msolutions.com, DNS:tv.atendimento.mareginter.w4msolutions.com, DNS:tv.atendimento.santander.w4msolutions.com"|"03:0e:7f:18:9c:dd:3b:71:02:93:87:47:e8:c7:3e:6e:7a:9b"
"baldisseraleiloes.com.br"|"DNS:baldisseraleiloes.com.br, DNS:www.baldisseraleiloes.com.br"|"03:a8:e1:50:dd:c5:00:d0:aa:7f:05:26:b5:c9:12:67:b0:5b"
"banco-pan.vertem.com"|"DNS:banco-pan.vertem.com"|"04:c1:e9:02:2e:ad:8e:42:3d:8e:08:36:34:d1:82:3d:66:ce"
"banco.santander.cl.abruseco.com"|"DNS:*.abruseco.com, DNS:abruseco.com, DNS:banco.santander.cl.abruseco.com, DNS:www.banco.santander.cl.abruseco.com"|"04:1b:3b:c7:ab:b9:c8:ff:fb:c7:dd:51:81:4e:3c:c7:37:cd"
"banco.santander.cl.lauraangels.co.uk"|"DNS:banco.santander.cl.lauraangels.co.uk, DNS:www.banco.santander.cl.lauraangels.co.uk"|"04:99:57:c5:10:95:62:b8:1b:2a:1a:d5:7e:52:2f:0b:27:f4"
"bancodobrasil-acesso.siteprofissional.com"|"DNS:www.bancodobrasil-acesso.siteprofissional.com"|"04:e6:42:2b:da:f3:98:f7:bb:64:fb:f7:71:61:50:23:29:74"
"webdisk.wleiloes.com"|""|""
"webetyek.interprognet.hu"|"DNS:webetyek.interprognet.hu, DNS:www.webetyek.interprognet.hu"|"04:56:67:d4:42:03:20:6f:c5:5f:24:f4:2f:6a:cb:f3:8f:4a"
"webhook-gn-cobranca.alesil.net"|"DNS:webhook-gn-cobranca.alesil.net"|"0b:4c:0d:9f:00:4b:b6:55:08:14:e5:53:ac:0f:8f:09"
"bancointer.argument.com.br"|""|""
"bancointer.webtraining.dev.br"|"DNS:bancointer.webtraining.dev.br, DNS:universidadepernambucanas.webtraining.dev.br, DNS:universidadepernambucanash.webtraining.com.br"|"03:12:8e:47:20:e7:0f:c2:18:d2:a5:fe:17:1f:a9:7d:d8:99"
"bancointernacional.cl.admin-mcas-df.ms"|"DNS:*.cl.mcas.ms, DNS:*.cl.admin-mcas.ms, DNS:*.cl.mcas-df.ms, DNS:*.cl.admin-mcas-df.ms"|"33:00:80:d2:63:a6:c9:57:ff:db:9c:81:82:00:00:00:80:d2:63"
"bancointernacional.cl.admin-mcas.ms"|"DNS:*.cl.mcas.ms, DNS:*.cl.admin-mcas.ms, DNS:*.cl.mcas-df.ms, DNS:*.cl.admin-mcas-df.ms"|"33:00:44:36:a8:74:db:03:28:ce:fc:a2:8e:00:00:00:44:36:a8"
"bancointernacional.cl.mcas-df.ms"|"DNS:*.cl.mcas.ms, DNS:*.cl.admin-mcas.ms, DNS:*.cl.mcas-df.ms, DNS:*.cl.admin-mcas-df.ms"|"33:00:80:d2:63:a6:c9:57:ff:db:9c:81:82:00:00:00:80:d2:63"
"bancointernacional.cl.mcas.ms"|"DNS:*.cl.mcas.ms, DNS:*.cl.admin-mcas.ms, DNS:*.cl.mcas-df.ms, DNS:*.cl.admin-mcas-df.ms"|"33:00:44:36:a8:74:db:03:28:ce:fc:a2:8e:00:00:00:44:36:a8"
"bancopan.co"|"DNS:*.bancopan.co, DNS:*.clinicaidm.com, DNS:*.ideiaclique.com, DNS:*.idm.business, DNS:*.lojavirtuol.com, DNS:*.oracaodehoje.com, DNS:*.podecasts.com, DNS:*.raxixe.com, DNS:bancopan.co, DNS:clinicaidm.com, DNS:ideiaclique.com, DNS:lojavirtuol.com, DNS:oracaodehoje.com, DNS:podecasts.com, DNS:raxixe.com, DNS:www.bancopan.idm.business, DNS:www.clinicaidm.idm.business, DNS:www.ideiaclique.idm.business, DNS:www.lojavirtuol.idm.business, DNS:www.oracaodehoje.idm.business, DNS:www.podecasts.idm.business, DNS:www.raxixe.idm.business"|"04:1b:f8:d8:59:fe:82:f6:f9:1f:6c:11:f2:f4:76:57:33:f9"
"bancopan.meuportalfinanceiro.com.br"|"DNS:bancopan.meuportalfinanceiro.com.br"|"03:c4:13:ba:20:fa:a3:5c:36:88:85:e3:7b:d1:a4:e6:bf:ad"
"bancopan2.teleperformance.com.br"|"DNS:bancopan2.teleperformance.com.br"|"04:9e:ce:12:ed:c5:bd:4a:81:29:1f:08:9b:30:a3:db:33:2e"
"bancopanacessodigital.com"|"DNS:bancopanacessodigital.com"|"05:5a:24:93:1b:c3:b0:f9:75:ca:52:e6:77:01:a1:e6"
"bancopanda.com.br"|"DNS:*.bancopanda.com.br, DNS:bancopanda.com.br"|"03:e2:5e:87:48:a7:a2:2d:94:6e:43:c6:9b:6c:9a:b0:66:f3"
"bancopaninterno.usezapay.com.br"|"DNS:bancopaninterno.usezapay.com.br"|"03:2b:42:f1:70:84:71:2c:57:2d:80:ab:1f:82:52:c2:22:05"
"bancopanstatus.mambu.com"|"DNS:appstatus.gojarrett.com, DNS:bancopanstatus.mambu.com, DNS:beaglestatus.mambu.com, DNS:itstatus-temp.uark.edu, DNS:itstatus.uark.edu, DNS:servicehealth.barona.fi, DNS:sfappstatus.formstack.com, DNS:smtp2gostatus.com, DNS:status.bitwave.io, DNS:status.boxcast.com, DNS:status.cipher.ai, DNS:status.citiprogram.org, DNS:status.cloud66.com, DNS:status.customergauge.com, DNS:status.deliveroo.com, DNS:status.dojah.io, DNS:status.duve.com, DNS:status.dyte.io, DNS:status.etpay.com, DNS:status.filarkiv.dk, DNS:status.findhelp.com, DNS:status.flumehealth.com, DNS:status.fygi.io, DNS:status.hire.trakstar.com, DNS:status.invevo.io, DNS:status.learn.trakstar.com, DNS:status.madcloud.asia, DNS:status.nebula.astronomer.io, DNS:status.newzoo.com, DNS:status.ntb.no, DNS:status.perform.trakstar.com, DNS:status.pressreader.com, DNS:status.revelsystems.com, DNS:status.saltmine.com, DNS:status.sequel.io, DNS:status.truckerpath.com, DNS:status.trustedhealth.com, DNS:status.upduo.com, DNS:status.wp-rocket.me, DNS:www.deeplstatus.com"|"03:f5:f8:49:47:af:3b:cb:7f:44:ae:5d:f9:fa:27:c7:4e:e2"
"bandsbeerandbanter.thewinterprojectband.com"|"DNS:autodiscover.bandsbeerandbanter.com, DNS:autodiscover.lexingtonelectrology.com, DNS:bandsbeerandbanter.com, DNS:bandsbeerandbanter.thewinterprojectband.com, DNS:cpanel.bandsbeerandbanter.com, DNS:cpanel.lexingtonelectrology.com, DNS:cpcalendars.bandsbeerandbanter.com, DNS:cpcalendars.lexingtonelectrology.com, DNS:cpcontacts.bandsbeerandbanter.com, DNS:cpcontacts.lexingtonelectrology.com, DNS:lexingtonelectrology.com, DNS:lexingtonelectrology.thewinterprojectband.com, DNS:mail.bandsbeerandbanter.com, DNS:mail.lexingtonelectrology.com, DNS:webdisk.bandsbeerandbanter.com, DNS:webdisk.lexingtonelectrology.com, DNS:webmail.bandsbeerandbanter.com, DNS:webmail.lexingtonelectrology.com, DNS:www.bandsbeerandbanter.com, DNS:www.bandsbeerandbanter.thewinterprojectband.com, DNS:www.lexingtonelectrology.com, DNS:www.lexingtonelectrology.thewinterprojectband.com"|"04:b5:39:fd:66:8e:f6:16:41:fd:fa:e1:f0:b7:8f:7e:84:eb"
"banese-acess-a.online"|""|""
"banese-app.site"|"DNS:banese-app.site, DNS:n12.banese-app.site, DNS:www.banese-app.site"|"03:62:30:29:ab:0e:e9:4c:74:aa:9c:66:cf:81:4c:7f:3a:79"
"banese-com-br.digital"|"DNS:*.banese-com-br.digital, DNS:banese-com-br.digital"|"a2:33:cd:19:6b:74:83:46:13:28:c0:87:d1:28:b4:88"
"bank-santander.seiklop.com"|"DNS:bank-santander.seiklop.com, DNS:www.bank-santander.seiklop.com"|"03:36:ba:4e:a1:97:66:d0:db:33:9e:6f:a6:8d:3a:eb:a8:3c"
"bankinter.programafuturo.com"|"DNS:bankinter.programafuturo.com"|"04:73:8f:f2:cd:7b:18:0d:34:ce:4a:80:ec:50:55:ae:3a:20"
"bankintercard.wakup.net"|"DNS:bankintercard.wakup.net, DNS:taller-rar-mostoles.com, DNS:wakup.net, DNS:web.bankinter.wakup.net, DNS:web.wakup.net"|"03:61:37:af:99:42:a8:ec:c9:62:f2:fb:0b:a2:f8:2a:db:d6"
"banqi-acesso.plataform-nexo.com"|""|""
"baraodosleiloes.cooperex.bomvalor.com.br"|"DNS:baraodosleiloes.cooperex.bomvalor.com.br"|"03:67:f6:61:10:00:0e:1b:1d:9e:1b:09:ee:e5:ee:30:39:04"
"barcelona.seguros-generales.es"|"DNS:barcelona.seguros-generales.es"|"03:ea:3f:6f:85:8b:b0:09:0b:9b:e2:f8:33:d3:26:f6:b1:50"
"barcode.interpixel.eu"|"DNS:barcode.interpixel.eu, DNS:www.barcode.interpixel.eu"|"e8:4c:58:ae:14:b0:7a:3c:5a:ba:94:bd:8a:fc:23:10"
"basic.bmg.321.works"|""|""
"bat.investiremleiloes.com.br"|"DNS:*.admin.builderall.com, DNS:*.blog.office.builderall.com, DNS:*.builderall.com, DNS:*.builderallbuilder.builderall.com, DNS:*.cheetah.builderall.com, DNS:*.free.builderall.com, DNS:*.marketplace.builderall.com, DNS:*.office.builderall.com, DNS:*.preview.builderall.com, DNS:*.sites.builderall.com, DNS:*.stores.builderall.com, DNS:*.wp.builderall.com, DNS:builderall.com, DNS:www.api.builderall.com"|"03:65:f8:11:b8:e8:b5:39:5f:d8:3a:70:f9:e0:f2:c7:de:c9"
"bat.leilaocaixapro.com"|"DNS:*.admin.builderall.com, DNS:*.blog.office.builderall.com, DNS:*.builderall.com, DNS:*.builderallbuilder.builderall.com, DNS:*.cheetah.builderall.com, DNS:*.free.builderall.com, DNS:*.marketplace.builderall.com, DNS:*.office.builderall.com, DNS:*.preview.builderall.com, DNS:*.sites.builderall.com, DNS:*.stores.builderall.com, DNS:*.wp.builderall.com, DNS:builderall.com, DNS:www.api.builderall.com"|"03:65:f8:11:b8:e8:b5:39:5f:d8:3a:70:f9:e0:f2:c7:de:c9"
"bat.leilaodeautomoveisvip.com.br"|"DNS:*.admin.builderall.com, DNS:*.blog.office.builderall.com, DNS:*.builderall.com, DNS:*.builderallbuilder.builderall.com, DNS:*.cheetah.builderall.com, DNS:*.free.builderall.com, DNS:*.marketplace.builderall.com, DNS:*.office.builderall.com, DNS:*.preview.builderall.com, DNS:*.sites.builderall.com, DNS:*.stores.builderall.com, DNS:*.wp.builderall.com, DNS:builderall.com, DNS:www.api.builderall.com"|"03:65:f8:11:b8:e8:b5:39:5f:d8:3a:70:f9:e0:f2:c7:de:c9"
"bat.pedroleiloes.com.br"|"DNS:*.admin.builderall.com, DNS:*.blog.office.builderall.com, DNS:*.builderall.com, DNS:*.builderallbuilder.builderall.com, DNS:*.cheetah.builderall.com, DNS:*.free.builderall.com, DNS:*.marketplace.builderall.com, DNS:*.office.builderall.com, DNS:*.preview.builderall.com, DNS:*.sites.builderall.com, DNS:*.stores.builderall.com, DNS:*.wp.builderall.com, DNS:builderall.com, DNS:www.api.builderall.com"|"03:65:f8:11:b8:e8:b5:39:5f:d8:3a:70:f9:e0:f2:c7:de:c9"
"batch-download-api.dev.sicredi.cloud"|""|""
"batistaregisleiloes.com"|"DNS:*.batistaregisleiloes.com, DNS:batistaregisleiloes.com"|"04:dd:36:bd:92:f5:00:5c:bc:de:06:1f:e0:ed:5c:8a:f7:df"
"bauscout.interpro.one"|"DNS:bauscout.interpro.one"|"04:8a:b2:41:b4:99:6f:ae:95:e5:38:c7:9a:30:14:92:0d:ca"
"bayi.fatura-tl.com"|"DNS:bayi.fatura-tl.com"|"03:b7:fc:44:f4:00:28:ef:66:1d:ed:72:d6:db:ab:2e:89:86"
"bb-atendimento-digital.gq"|"DNS:*.bb-atendimento-digital.gq, DNS:bb-atendimento-digital.gq"|"04:90:92:65:a1:ce:aa:d2:0e:79:69:f6:73:b6:41:13"
"bbk.hsbc-online-banking.co.uk"|"DNS:bbk.accounts-hubspot.co.uk, DNS:bbk.alert-manager.co.uk, DNS:bbk.apple-alerts.co.uk, DNS:bbk.auto-alerts.com, DNS:bbk.dropbx.uk, DNS:bbk.global-web-alerts.com, DNS:bbk.gov-co.uk, DNS:bbk.hronlineaudit.co.uk, DNS:bbk.hsbc-online-banking.co.uk, DNS:bbk.link-in.co.uk, DNS:bbk.micorsoft.co.uk, DNS:bbk.new-order.uk, DNS:bbk.slackchannels.co.uk, DNS:bbk.spam-manager.co.uk"|"04:b2:b8:46:73:53:98:95:c2:be:c5:ba:fc:d7:e9:cc:2a:52"
"bbpontos-server.bbpontos-serverprivate.mysql.database.azure.com"|""|""
"bcard.pandasystems.org"|"DNS:*.pandasystems.org, DNS:sni.cloudflaressl.com, DNS:pandasystems.org"|"0d:0e:fd:45:28:8e:41:5a:dc:5f:96:3c:76:45:b6:e7"
"bd-cartoes-prime.ueek.dev"|"DNS:bd-cartoes-prime.ueek.dev"|"04:e9:8e:50:0f:72:0d:dc:48:a6:ec:51:a3:a8:25:c3:f4:2f"
"be-a-port-crty-emprestimos-pessoais-ok.live"|"DNS:*.be-a-port-crty-emprestimos-pessoais-ok.live, DNS:be-a-port-crty-emprestimos-pessoais-ok.live"|"29:02:a4:19:65:67:08:fa:0e:55:c8:0a:0e:19:88:14"
"be-a-tarjetas-credito-aprobacion-instantanea-ok.live"|"DNS:*.be-a-tarjetas-credito-aprobacion-instantanea-ok.live, DNS:be-a-tarjetas-credito-aprobacion-instantanea-ok.live"|"03:d5:f1:3f:51:d4:f6:77:da:b4:df:d5:1b:af:6c:fd:80:b3"
"be-an-ec-tarjetas-de-credito-ok.live"|"DNS:*.be-an-ec-tarjetas-de-credito-ok.live, DNS:be-an-ec-tarjetas-de-credito-ok.live, DNS:sni.cloudflaressl.com"|"04:24:cb:11:4c:f5:f5:12:3e:fd:d4:d7:5a:0c:5f:2d"
"be-fr.cashback.cyrana.com"|"DNS:be-fr.cashback.cyrana.com"|"03:03:71:46:3b:65:0f:d8:49:16:49:84:0d:82:e0:52:46:1b"
"be-fr.cashback.reward-club.hubside.com"|"DNS:be-fr.cashback.reward-club.hubside.com"|"03:95:d6:93:52:44:97:47:10:54:c0:ef:e9:45:19:cc:ec:b3"
"be-hk-smiles-ok.live"|"DNS:*.be-hk-smiles-ok.live, DNS:be-hk-smiles-ok.live"|"04:9f:cd:3e:2e:0f:9c:b5:4e:82:8c:3b:c9:84:b8:8f:3b:8d"
"be-intl-white-smiles-ok.live"|"DNS:*.be-intl-white-smiles-ok.live, DNS:be-intl-white-smiles-ok.live"|"04:30:c5:e8:b3:7f:89:e8:c4:29:84:35:d7:3f:dd:e1:22:73"
"be-it-carte-di-credito-senza-assegno-di-credito-ok.live"|"DNS:sni.cloudflaressl.com, DNS:be-it-carte-di-credito-senza-assegno-di-credito-ok.live, DNS:*.be-it-carte-di-credito-senza-assegno-di-credito-ok.live"|"0e:04:e1:65:24:0b:79:a3:f0:54:05:46:a1:c7:01:3e"
"be-mx-tarjetas-de-credito-ok.live"|"DNS:*.be-mx-tarjetas-de-credito-ok.live, DNS:be-mx-tarjetas-de-credito-ok.live"|"03:1b:db:31:16:2e:7f:c6:7e:70:42:b6:3d:30:63:35:ce:b6"
